claim_id,section,claim,evidence,protocol,fairness_control,status,remaining_action
CLAIM-01,Profile,"45:1 head-tail ratio and 85.3% small instances characterize VisDrone","Label audit and final_profile_stats","Label-only profile","Full training labels","Supported","Release JSON"
CLAIM-02,Confusion,"Structural similarity identifies 23 pairs and a van/truck axis","Profiler and kappa verification","0.6 AR + 0.4 scale","Paper/code/figure aligned","Supported","Keep verification script"
CLAIM-03,Architecture,"P2 contributes strongly at low/medium resolution but less at 1600","Complete v8l vs v8l-P2 ladder","native/md300","Same detector family and evaluator","Supported","None"
CLAIM-04,Regime,"Rebalancing effect depends on regime","640/960/1600/1920 arms; exact 960 pair 28.10/31.92; exact 1280 triplet 34.63/34.72/35.12 md100","md100 for exact controls; native/md300 separated elsewhere","Matched detector/epochs; exact controls also match batch and evaluator","Supported with single-seed exact-control caveat","Optionally replicate exact controls"
CLAIM-05,Exposure,"1920 same-epoch gain is mostly exposure","base@120 vs union@60","native and md100","Exposure-matched schedule","Supported","None"
CLAIM-06,Targeted,"Targeted union leaves a residual after random volume","Exact 960 union +3.82; exact 1280 +0.40 over random; 1600 groups +0.18 over random","md100","Batch/evaluator-matched exact controls or volume-matched farm","Partially supported","Finish 1600 targeted n=5; disclose exact-control n=1"
CLAIM-07,Online,"Early two-arm gap predicts final gain","30-epoch probe","best-checkpoint gap","No future epochs used","Supported","Optional prospective simulation"
CLAIM-08,Transfer,"Same recipe transfers to UAVDT","UAVDT base/frequency/union","native","No retuning","Supported","None"
CLAIM-09,DetectorFamily,"Policy is detector-family independent","RT-DETR base and union","640/100ep","Same schedule","Pending","Finish RT-DETR union"
CLAIM-10,ModernBaseline,"DAHP-M outperforms modern YOLO baselines at 640","26.11 vs YOLO26 24.90","md100","Same split and evaluator","Supported for current YOLO set","Consider D-FINE/RT-DETRv2"
CLAIM-11,UAVBaseline,"DAHP-L outperforms strongest reproduced UAV comparator under our protocol","38.16 vs RemDet 29.90","md100","Reproduced protocol and compute-matched retrain","Supported","Do not call official test-dev SOTA"
CLAIM-12,Negative,"Tested architecture modules fail to improve strong baselines","Negative-result appendix","native/DFL audit","Matched 100ep runs","Supported as scoped result","Keep failure table"
CLAIM-13,Efficiency,"DAHP-L is real-time on desktop RTX3090","FPS benchmark","batch1 FP16","Same GPU","Partially supported","Add >=200-image latency breakdown"
